contractor,month,row,level,block,waste,CF2,CF3,cr-cf2,cr-cf3,cr-oxid,cr-sum,CF3-LP,OXID,ton,sum
700,1,1,1345,other-1345,7,1,0,0,0,0,0,0,0,815,8
700,1,2,1450,West-Dump,52,0,0,0,0,0,0,0,0,5200,52
700,1,3,1450,East-Dump,28,0,0,0,0,0,0,0,0,2800,28
700,1,4,1180,Other-1180,0,0,1,0,3,0,3,0,0,460,4
700,1,5,1195,E14067-1195M,79,99,49,124,261,0,385,0,0,69195,612
700,1,6,1210,E14063-1210,0,2,15,47,144,0,191,0,0,23920,208
700,1,7,1195,E13998-1195M,215,49,0,109,0,0,109,0,0,39670,373
700,1,8,1135,other-1135,67,6,0,2,0,0,2,0,0,7620,75
700,1,9,1315,E14187-1315T,28,0,0,0,0,0,0,0,0,2800,28
700,1,10,1330,E14276-1330T,289,0,0,0,0,0,0,0,0,28900,289
700,1,11,1315,E14224-1315M,272,76,0,58,0,0,58,0,0,42610,406
700,1,12,1180,E14300-1180M,67,37,49,18,486,0,504,0,0,74550,657
700,1,13,1180,E14322-1180,961,13,0,39,0,0,39,0,0,102080,1013
700,1,14,1135,EL763-1135M,0,0,24,6,216,0,222,0,0,28290,246
700,1,15,1315,E14219-1315M,1073,0,0,0,0,0,0,0,0,107300,1073
700,1,16,1135,EL764-1135,0,5,28,41,173,0,214,0,0,28405,247
700,1,17,1135,EL766-1135T,0,0,0,0,48,0,48,0,0,5520,48
700,1,18,1315,E14308-1315,36,0,0,0,0,0,0,0,0,3600,36
700,1,19,1315,E14303-1315M,418,0,0,0,0,0,0,0,0,41800,418
700,1,20,1150,E14304-1150M,234,0,0,0,0,0,0,0,0,23400,234
700,1,21,1330,E14281-1330,38,0,0,0,0,0,0,0,0,3800,38
700,1,22,1135,EL767-1135,170,58,25,12,93,0,105,0,0,38620,358
700,1,23,1330,E14305-1330,34,8,0,0,0,0,0,0,0,4320,42
700,1,24,1315,E14345-1315,20,0,0,0,0,0,0,0,0,2000,20
700,1,25,1270,E14285-1270,124,0,0,0,0,0,0,0,0,12400,124
700,1,26,1270,E14314-1270T,499,0,0,0,0,0,0,0,0,49900,499
700,1,27,1270,E14311-1270,33,0,0,0,0,0,0,0,0,3300,33
700,1,28,1270,E14288-1270,0,9,0,29,11,0,40,0,0,5635,49
700,1,29,1135,E14371-1135M,26,14,21,60,294,0,354,0,0,47335,415
700,1,30,1135,EL769-1135M,113,26,3,30,151,0,181,0,0,35450,323
700,1,31,1315,E14344-1315,567,0,0,0,0,0,0,0,0,56700,567
700,1,32,1315,E14351-1315M,474,0,0,0,0,0,0,0,0,47400,474
700,1,33,1270,E14370-1270T,622,0,0,0,0,0,0,0,0,62200,622
700,1,34,1180,E14343-1180,344,1,0,0,0,0,0,0,0,34515,345
700,1,35,1180,E14397-1180M,127,19,1,31,61,0,92,0,0,25580,239
700,1,36,1135,E14352-1135M,232,0,0,0,0,0,0,0,0,23200,232
700,1,37,1180,E14411-1180,2,3,53,12,225,0,237,0,0,33895,295
700,1,38,1180,E14309-1180,149,17,45,76,427,0,503,0,0,79875,714
700,1,39,1315,E14416-1315,152,0,0,0,0,0,0,0,0,15200,152
700,1,40,1315,E14391-1315T,107,0,0,0,0,0,0,0,0,10700,107
700,1,41,1270,E14423-1270T,57,0,0,0,0,0,0,0,0,5700,57
700,1,42,1135,E14417-1135M,123,0,0,0,0,0,0,0,0,12300,123
700,1,43,1180,E14442-1180M,0,0,2,0,6,0,6,0,0,920,8
